title,content
 The Theory of Everything ,"  
Everything? Well, wait a minute. Questioning A Theory of Everything may be beating a dead horse since I’m certainly not the first to be bothered by its implicit hyperbole but let’s face it, referring to one’s field of study as The Theory of Everything smacks of arrogance and naivité. Although it’s only been around for a relatively short period and may already be dying a natural death, the phrase, though certainly not the endeavour, should be retired from serious scientific literature and discourse.
Let me elaborate. The search for grand syntheses, for commonalities, regularities, ideas and concepts that transcend the narrow confines of specific problems or disciplines is one of the great inspirational drivers of science and scientists. Arguably, it is also a defining characteristic of homo sapiens sapiens. Perhaps the binomial form of sapiens is some distorted poetic recognition of this. Like the invention of gods and God, the concept of A Theory of Everything connotes the grandest vision of all, the inspiration of all inspirations, namely that we can encapsulate and understand the entirety of the universe in a small set of precepts, in this case, a concise set of mathematical equations. Like the concept of God, however, it is potentially misleading and intellectually dangerous.
Among the classic grand syntheses in science are Newton’s laws, that taught us that heavenly laws were no different than the earthly, Maxwell’s unification of electricity and magnetism, that brought the ephemeral aether into our lives, Darwin’s theory of natural selection, which reminded us that we’re just animals and plants after all, and the laws of thermodynamics that suggest we can’t go on forever. Each of these has had profound consequences not only in changing the way we think about the world, but also in laying the foundations for technological advancements that have led to the standard of living many of us are privileged to enjoy. Nevertheless, they are all, to varying degrees, incomplete. Indeed, understanding the boundaries of their applicability, the limits to their predictive power and the ongoing search for exceptions, violations and failures have provoked even deeper questions and challenges, stimulating the continued progress of science and the unfolding of new ideas, techniques and concepts.
One of the great ongoing scientific challenges is the search for a Grand Unified Theory of the elementary particles and their interactions, including its extension to understanding the cosmos and even the origin of space-time itself. Such a theory would be based on a parsimonious set of underlying mathematisable universal principles that integrate and explain all the fundamental forces of nature from gravity and electromagnetism to the weak and strong nuclear forces, incorporating Newton’s laws, quantum mechanics and general relativity. Fundamental quantities like the speed of light, the dimensionality of space-time and masses of the elementary particles would all be predicted, and the equations governing the origin and evolution of the universe through to the formation of galaxies and beyond would be derived, and so on. This constitutes The Theory of Everything. It is a truly remarkable and enormously ambitious quest that has occupied thousands of researchers for over fifty years at a cost of billions of dollars. Measured by almost any metric this quest, which is still far from its ultimate goal, has been enormously successful, leading, for example, to the discovery of quarks and the Higgs, to black holes and the Big Bang, to quantum chromodynamics and string theory…..and to many Nobel Prizes.
But Everything? Well, hardly. Where’s life, where are animals and cells, brains and consciousness, cities and corporations, love and hate, etc, etc? How does the extraordinary diversity and complexity seen here on earth arise? The simplistic answer is that these are inevitable outcomes of the interactions and dynamics encapsulated in the Theory. Time evolves from the geometry and dynamics of strings, the universe expands and cools, and the hierarchy from quarks to nucleons, to atoms and molecules, to cells, brains, and emotions and all the rest come tumbling out; a sort of deus ex machina, a result of ""just"" turning the crank of increasingly complicated equations and computations presumed, in principle, to be soluble to any sufficient degree of accuracy. Qualitatively, this extreme version of reductionism may have some validity, but Something is missing.
The ""Something"" includes concepts like information, emergence, accidents, historical contingency, adaptation and selection, all characteristics of complex adaptive systems whether organisms, societies, ecosystems or economies. These are composed of myriad individual constituents or agents that take on collective characteristics that are generally unpredictable, certainly in detail, from their underlying components even if the interactive dynamics are known. Unlike the Newtonian paradigm upon which The Theory of Everything is based, the complete dynamics and structure of complex adaptive systems cannot be encoded in a small number of equations. Indeed, in most cases, probably not even in an infinite number! Furthermore, predictions to arbitrary degrees of accuracy are not possible, even in principle.
Perhaps, then, the most surprising consequence of a visionary Theory of Everything is that it implies that, on the grand scale, the universe, including its origins and evolution, though extremely complicated, is not complex but, in fact, is surprisingly simple since it can be encoded in a limited number of equations, conceivably only one. This is in stark contrast to here on earth where we are integral to some of the most diverse, complex and messy phenomena that occur anywhere in the universe, and which require additional, possibly non-mathematisable concepts, to understand. So, while applauding and admiring the search for a Grand Unified Theory of all the basic forces of nature, let’s drop the implication that it can, in principle, explain and predict Everything. Let us instead incorporate a parallel quest for A Grand Unified Theory of Complexity. The challenge of developing a quantitative, analytic, principled, predictive framework for understanding complex adaptive systems is surely a grand challenge for the 21st Century. Like all grand syntheses, it will inevitably remain incomplete but nevertheless will undoubtedly inspire significant, possibly revolutionary, new ideas, concepts, and techniques.
 "
 Uniformity And Uniqueness Of The Universe ,"  For most of the 20th century, scientific thought was dominated by the idea of the uniformity of the universe and the uniqueness of laws of physics. Indeed, the cosmological observations indicated that the universe on the largest possible scales is almost exactly uniform, with the accuracy better than 1 in 10000.
A similar situation occurs with respect to the uniqueness of laws of physics. We knew, for example, that the electron mass is the same everywhere in the observable part of the universe, so the obvious assumption was that it must take the same value everywhere, it is just a constant of nature. For a long time, one of the great goals of physics was to find a single theory that would unify all fundamental interactions and provide an unambiguous explanation for all known parameters of particle physics.
Thirty years ago, a possible explanation of the uniformity of the universe was found. The main idea was that our part of the world emerged as a result of an exponentially rapid stretching of space, called cosmic inflation. Then all ""wrinkles"" and non-uniformities of space are stretched out and disappear. The universe becomes incredibly smooth. Add a little bit of quantum fluctuations, stretch them, the resulting uniformity becomes just a little bit less perfect, and galaxies emerge.
At first, inflationary theory looked like an exotic product of vivid imagination. But thanks to the enthusiastic work of thousands of scientists, many predictions of this theory have been confirmed by observations. And if the theory is correct, we finally have a scientific explanation of why the world is so uniform.
But inflation does not predict that this uniformity must extend beyond the observable part of the universe. To give an analogy, suppose the universe is a surface of a big soccer ball consisting of black and white hexagons. If we inflate it, the size of each white or black part becomes exponentially large. If inflation is powerful enough, those who live in a black part of the universe will not ever see the white part, they will believe that the whole universe is black, and they will try to find a scientific explanation why it cannot have any other color. Those who live in a white universe will never see the black parts and therefore they may think that the whole world must be white. But both black and white parts may coexist in an inflationary universe, without contradicting observations.
In the example given above, we were talking about black and white. But in physics, the number of different states of matter (the number of ""colors"") can be exponentially large. The best candidate for the ""theory of everything"" that is presently known to us is string theory. It can be successfully formulated in space-time with 10 dimensions (9 dimensions of space, and 1 time). But we live in the universe with 3 dimensions of space. Where are other 6? The answer is that they are compactified, squeezed into something so small that we cannot move in these directions, which is why we perceive the world as if it were 3-dimensional.
From the early days of string theory, physicists knew that there are exponentially many different ways to compactly the extra 6 dimensions, but we did not know what can prevent the compactified dimensions from blowing up. This problem was solved about 10 years ago, and the solution validated the earlier expectations of the exponentially large number of possibilities. Some estimates of the number of different options are as large as 10500. And each of these options describes a part of the universe with a different vacuum energy and different types of matter.
In the context of the inflationary theory, this means that our world may consist of incredibly large number of exponentially large ""universes"" with 10500 different types of matter inside them.
A pessimist would argue that since we do not see other parts of the universe, we cannot prove that this picture is correct. An optimist, on the other hand, may counter that we can never disprove this picture either, because its main assumption is that other ""universes"" are far away from us. And since we know that the best of the theories developed so far allow about 10500 different universes, anybody who argues that the universe must have same properties everywhere would have to prove that only one of these 10500 universes is possible.
And then there is something else. There are many strange coincidences in our world. The mass of the electron is 2000 times smaller than the mass of the proton. Why? The only known reason is that if it would change few times, life as we know it would be impossible. The masses of the proton and neutron almost coincide. Why? If one of their masses would change just a little, life as we know it would be impossible. The energy of empty space in our part of the universe is not zero, but a tiny number, more than a hundred orders of magnitude below the naive theoretical expectations. Why? The only known explanation is that we would be unable to live in the world with a much larger energy of vacuum.
The relation between our properties and the properties of the world is called the anthropic principle. But if the universe were given to us in one copy, this relation would not help. We would need to speculate about the divine cause making the universe custom built for humans. Meanwhile, in the multiverse consisting of many different parts with different properties, the correlation between our properties and the properties of the part of the world where we can live makes perfect sense.
Can we return back to the old picture of a single universe? Possibly, but in order to do it, three conditions should be met: One should invent a better cosmological theory, one should invent a better theory of fundamental interactions, and one should propose an alternative explanation for the miraculous coincidences which we just discussed. 
 "
 Race ,"  
Race has always been a vague and slippery concept. In the mid-eighteenth century, European naturalists such as Linnaeus, Comte de Buffon, and Johannes Blumenbach described geographic groupings of humans who differed in appearance. The philosophers David Hume and Immanuel Kant both were fascinated by human physical diversity. In their opinions, extremes of heat, cold, or sunlight extinguished human potential. Writing in 1748, Hume contended that, ""there was never a civilized nation of any complexion other than white.""
Kant felt similarly. He was preoccupied with questions of human diversity throughout his career, and wrote at length on the subject in a series of essays beginning in 1775. Kant was the first to name and define the geographic groupings of humans as races (in German, Rassen). Kant's races were characterized by physical distinctions of skin color, hair form, cranial shape, and other anatomical features and by their capacity for morality, self-improvement, and civilization. Kant's four races were arranged hierarchically, with only the European race, in his estimation, being capable of self-improvement.
Why did the scientific racism of Hume and Kant prevail in the face of the logical and thoughtful opposition of von Herder and others? During his lifetime, Kant was recognized as a great philosopher, and his status rose as copies of his major philosophical works were distributed and read widely in the nineteenth century. Some of Kant's supporters agreed with his racist views, some apologized for them, or—most commonly—many just ignored them. The other reason that racist views triumphed over anti-racism in the late eighteenth and nineteenth centuries was that racism was, economically speaking, good for the transatlantic slave trade, which had become the overriding engine of European economic growth. The slave trade was bolstered by ideologies that diminished or denied the humanity of non-Europeans, especially Africans. Such views were augmented by newer biblical interpretations popular at the time that depicted Africans as destined for servitude. Skin color, as the most noticeable racial characteristic, became associated with a nebulous assemblage of opinions and hearsay about the inherent natures of the different races. Skin color stood for morality, character, and the capacity for civilization; it had become a meme. The nineteenth and early twentieth centuries saw the rise of ""race science."" The biological reality of races was confirmed by new types of scientific evidence amassed by new types of scientists, notably anthropologists and geneticists. This era witnessed the birth of eugenics and its offspring, the concept of racial purity. The rise of Social Darwinism further reinforced the notion that the superiority of the white race was part of the natural order. The fact that all people are products of complex genetic mixtures resulting from migration and intermingling over thousands of years was not admitted by the racial scientists, nor by the scores of eugenicists who campaigned on both sides of the Atlantic for the improvement of racial quality.
The mid-twentieth century witnessed the continued proliferation of scientific treatises on race. By the 1960s, however, two factors contributed to the demise of the concept of biological races. One of these was the increased rate of study of the physical and genetic diversity human groups all over the world by large numbers of scientists. The second factor was the increasing influence of the civil rights movement in the United States and elsewhere. Before long, influential scientists denounced studies of race and races because races themselves could not be scientifically defined. Where scientists looked for sharp boundaries between groups, none could be found.
Despite major shifts in scientific thinking, the sibling concepts of human races and a color-based hierarchy of races remained firmly established in mainstream culture through the mid-twentieth century. The resulting racial stereotypes were potent and persistent, especially in the United States and South Africa, where subjugation and exploitation of dark-skinned labor had been the cornerstone of economic growth.
After its ""scientific"" demise, race remained as a name and concept, but gradually came to stand for something quite different. Today many people identify with the concept of being a member of one or another racial group, regardless of what science may say about the nature of race. The shared experiences of race create powerful social bonds. For many people, including many scholars, races cease to be biological categories and have become social groupings. The concept of race became a more confusing mélange as social categories of class and ethnicity. So race isn't ""just"" a social construction, it is the real product of shared experience, and people choose to identify themselves by race.
Clinicians continue to map observed patterns of health and disease onto old racial concepts such as ""White"", ""Black"" or ""African American"", ""Asian,"" etc. Even after it has been shown that many diseases (adult-onset diabetes, alcoholism, high blood pressure, to name a few) show apparent racial patterns because people share similar environmental conditions, grouping by race are maintained. The use of racial self-categorization in epidemiological studies is defended and even encouraged. In most cases, race in medical studies is confounded with health disparities due to class, ethnic differences in social practices, and attitudes, all of which become meaningless when sufficient variables are taken into account.
Race's latest makeover arises from genomics and mostly within biomedical contexts. The sanctified position of medical science in the popular consciousness gives the race concept renewed esteem. Racial realists marshal genomic evidence to support the hard biological reality of racial difference, while racial skeptics see no racial patterns. What is clear is that people are seeing what they want to see. They are constructing studies to provide the outcomes they expect. In 2012, Catherine Bliss argued cogently that race today is best considered a belief system that ""produces consistencies in perception and practice at a particular social and historical moment"".
Race has a hold on history, but it no longer has a place in science. The sheer instability and potential for misinterpretation render race useless as a scientific concept. Inventing new vocabularies of human diversity and inequity won't be easy, but is necessary. 
 "
 There is No Reality in the Quantum World ,"  
The idea to be abandoned is the idea that there is no reality in the quantum world. The idea probably came about because of two reasons. On the one hand, because of the fact that one cannot always ascribe a precise value to a physical property, and on the other hand, because within the wide spectrum of interpretations of quantum mechanics some suggest that the quantum state does not describe an external reality, but rather that the properties only come about in the mind of the observer and therefore that consciousness plays a crucial role.
Let us consider for a second the famous double-slit experiment. Such experiments or their equivalents have to date not only been performed with single photons or any other kind of single particles, like neutrons, protons, electrons etc., but even with very large macromolecules, such as buckyballs and even larger. Specifically we do the experiment with buckyballs—the C-60 or C-70 molecules. You have two slits and under the right experimental conditions, you observe a distribution of the buckyballs behind the slits which has maxima and minima, the interference pattern. This is due to interference of the probability waves passing through both slits. But, following Einstein in his famous debate with Niels Bohr, we might ask if we do the experiment with individual particles, individual buckballs one by one: Through which slit does an individual buckyball molecule pass? Would it not be natural to assume that every particle has to pass either slit? Quantum physics tells us that this is not a meaningful question. We cannot assign a well-defined position to the particle unless we actually perform an experiment which allows us to find out where it is. So, before we do the measurement, the position of the buckyball—and therefore the slit it passes through—is a concept devoid of any meaning. 
Suppose we now measure the position of the particle. Then we get an answer and know where it is. It is either near one slit or near the other slit. In that case, position is certainly an element of reality, and we can clearly say that quantum physics describes this reality. What is interesting is that having precise knowledge of one feature, namely the position, another kind of knowledge, namely the one encoded in the interference pattern, is not well-defined anymore. 
Where could consciousness come in here? Quantum mechanics tells us that the particle, before any observation, is in a superposition of passing through one slit and of passing through the other slit. If we now have two detectors, one each behind each slit, then either detector will register the particle. But quantum mechanics tells us that the measurement apparatus becomes entangled with the position observable of the particle, and thus itself does not have well-defined classical features, at least in principle. This, following the Hungarian-American Nobel prize winner Eugene Wigner, is a chain which can be followed until an observer registers the result. So if we would adopt that reasoning, it is the consciousness which would make reality happen. 
But you don't have to go so far. It is enough to assume that quantum mechanics just describes probabilities of possible measurement results. Then making an observation turns potentiality into actuality and, in our case, the position of the particle becomes a quantity one can talk reasonably about. But, whether it has a well-defined position or not, the buckyball very well exists. It is real in the double-slit experiment, even when it is impossible to assign its position a well-defined value.
 "
 Urvogel  ,"   
I would like to put to rest the notion that evolution as a process should conform to words and concepts that we find familiar, comfortable, and perhaps even universal. More immediately, I'd like to stop having to always explain whether or not each new feathered dinosaur specimen we discover was a bird.
In many ways it's an understandable question. Most scientists have accepted for years that living birds are one lineage of dinosaurs. The idea that dinosaurs live on in birds even crept into popular consciousness through Jurassic Park. So perhaps it's not surprising that when scientists discover a new feathered dinosaur, people—including scientists and science journalists—often want to know, ""Did it fly?"" Consider the first-discovered feathered dinosaur, the so-called ""Urvogel"" Archaeopteryx. Debate continues in the scientific literature: Was it a bird?
As a paleontologist working on the evolution of living birds, I find myself having this exchange over and over again. For example, I describe a small feathery species newly uncovered from the fossil record. After detailing its known features, I might note that it may have had some form of aerial locomotion. There is inevitably a pause. Then the question, ""Ok, but was it a bird?"" Impatient with scientists and their endless modifiers and complex phrasing, the asker wants to get this story clear, ""Ok, but did it fly?"" Tell it to me straight.
The questions may sound innocent enough and perhaps are extremely intuitive to ask. However, although these seem like scientific questions, they mostly aren't. They concern primarily what we want to identify as part of the class of entities ""birds"" and what is part of the class ""flighted"".  We might think we have these straight in the present day, but try looking back through a dirty lens at life more than 100 million years ago.
Paleontologists must use the shape and form of bone as well as, in rare cases, feathery impressions to track the ecologies of the long dead. To do this, they must use data on form-function relationships in the living. This task in and of itself is difficult and ongoing. But what is more difficult is to translate combinations of structures that are not present in any living species into an understanding of how it moved. For example, flighted living birds have a joint between the scapula and coracoid where the upper arm bone, humerus, meets the pectoral girdle. Yet we have species in the fossil record with feathered forelimbs of impressive span (shall we call them wings?) but lacking this kind of joint articulation. Subtle features of the feathers and their relative proportions may differ from any living bird. Is this creature a bird?
How did it move? Did it have a form of sustained flapping flight but unlike that in any extant species? If we could time travel back to a Cretaceous forest, would we call this movement flight? What if a species beat its wings only briefly to move from branch to branch? What if it utilized these ""wing"" beats to climb trees or jump? What if it was only volant as a juvenile, but as a large bodied adult it maintained feathery forelimbs for signaling to a mate but flew no longer?
All of these hypotheses have been forwarded, and all may have been true for different denizens of Jurassic and Cretaceous environments. We can debate whether these creatures flew and whether or not they were birds, by our contemporary definitions, but doing so, we risk losing sight of the bigger scientific questions. All too quickly, we can fall into a rabbit hole of defining (and defending) terms, when we'd do better to seek a more precise understanding of the emergence, the relative evolutionary first appearances, of the many features comprising the flight apparatus in living birds.
Feathers make their first appearance in taxa that could not have been volant as adults. Precursors to feathers, simple filaments, are found in tyrannosaurids and an array of other relatives of living birds. While hundreds of characteristics of bone and feather have revealed these deep genealogical relationships within dinosaurs, we still seem to be searching to pin ""bird"" and ""flight"" to single characters.
I am not the first to remark that the debate over what to call a bird and what to term flight is not useful and actually at odds with evolutionary thinking. But, I have been surprised by the persistence of this debate even among specialists. For example, exchanges over how to apply the formal taxonomic name ""Aves"" are ongoing. While events unfolding in deep time via evolutionary processes are arguably the least likely candidates for dichotomous or categorical thinking, this mode of thought runs rampant and engenders false controversies that obscure interesting questions. It is tracking the more complex pattern of asynchronous change in many novel traits that will inform generalities about how the evolution of shape and form may work.
Arguably the hypotheses we investigate should be arrayed relative to one another in relationships other than opposition. However, often the categories we are comfortable talking about will artificially organize them into this apparent relationship. Indeed, across science I would argue we in fact have many ""urvogels"" lingering evidence of similarly strong collective cognitive investment in the existence of classes of entities we consider intuitive and natural. These can hold us back.
 "
 We'll Never Hit Barriers To Scientific Understanding ,"  
There's a widely-held presumption that our insight will deepen indefinitely—that all scientific problems will eventually yield to attack. But I think we may need to abandon this optimism. The human intellect may hit the buffers—even though in most fields of science, there's surely a long way to go before this happens.
There is plainly unfinished business in cosmology. Einstein's theory treats space and time as smooth and continuous. We know, however, that no material can be chopped into arbitrarily small pieces: eventually, you get down to discrete atoms. Likewise, space itself has a grainy and ""quantised"" structure—but on a scale a trillion trillion times smaller. We lack a unified understanding of the bedrock of the physical world.
Such a theory would bring big bangs and multiverses within the remit of rigorous science. But it wouldn't signal the end of discovery. Indeed, it would be irrelevant to the 99 per cent of scientists who are neither particle physicists nor cosmologists.
Our grasp of diet and child care, for instance, is still so meagre that expert advice changes from year to year. This may seem an incongruous contrast with the confidence with which we can discuss galaxies and sub-atomic particles. But biologists are held up by the problems of complexity—and these are more daunting than those of the very big and the very small.
The sciences are sometimes likened to different levels of a tall building: particle physics on the ground floor, then the rest of physics, then chemistry, and so forth: all the way up to psychology (and the economists in the penthouse). There is a corresponding hierarchy of complexity: atoms, molecules, cells, organisms, and so forth. This metaphor is in some ways helpful. It illustrates how each science is pursued independently of the others. But in one key respect the analogy is poor: in a building, insecure foundations imperil the floors above. In contrast, the 'higher level' sciences dealing with complex systems aren't imperiled by an insecure base, as a building is.
Each science has its own distinct concepts and explanations. Even if we had a hypercomputer that could solve Schrodinger's equation for quadrillions of atoms, its output wouldn't yield the kind of understanding that most scientists seek.
This is true not only of the sciences that deal with really complex things—especially those that are alive—but even when the phenomena are more mundane. For instance, mathematicians trying to understand why taps drip, or why waves break, don't care that water is H2O. They treat the fluid as a continuum. They use 'emergent' concepts like viscosity and turbulence.
Nearly all scientists are ""reductionists"" insofar as they think that everything, however complicated, obeys the basic equations of physics. But even if we had a hypercomputer that could solve Schrodinger's equation for the immense aggregate of atoms in (say) breaking waves, migrating birds or tropical forests, an atomic-level explanation wouldn't yield the enlightenment we really seek. The brain is an assemblage of cells, and a painting is an assemblage of chemical pigment. But in both cases, what's interesting is the pattern and structure—the emergent complexity.
We humans haven't changed much since our remote ancestors roamed the African savannah. Our brains evolved to cope with the human-scale environment. So it is surely remarkable that we can make sense of phenomena that confound everyday intuition: in particular, the minuscule atoms we're made of, and the vast cosmos that surrounds us.
Nonetheless—and here I'm sticking my neck out—maybe some aspects of reality are intrinsically beyond us, in that their comprehension would require some post-human intellect—just as Euclidean geometry is beyond non-human primates.
 Some may contest this by pointing out that there is no limit to what is computable. But being computable isn't the same as being conceptually graspable. To give a trivial example, anyone who has learnt Cartesian geometry can readily visualize a simple pattern—a line or a circle—when they're given the equation for it. But nobody given the (simple seeming) algorithm for drawing the Mandelbrot Set could visualise its amazing intricacies– even though drawing the pattern is only a modest task for a computer.
It would be unduly anthropocentric to believe that all of science—and a proper concept of all aspects of reality—is within human mental powers to grasp. Whether the really long-range future lies with organic post-humans or with intelligent machines is a matter for debate—but either way, there will be insights into reality left for them to discover.
 "
 Life Evolves Via A Shared Genetic Toolkit ,"  
Genes and their interaction networks determine the phenotype of an organism—what it looks like and how it behaves. One of the biggest problems in modern evolutionary biology is understanding the relationship between genes and phenotypes. The prevailing theory is that all animals are built from essentially the same set of regulatory genes—a genetic toolkit, and that phenotypic variation within and between species arises simply by using shared genes differently. Scientists are now generating a vast amount of genomic data from an eclectic mix of organisms. These data are telling us to put to bed the idea that all life is underlain by a common toolkit of conserved genes. Instead, we need to turn our attention to the role of genomic novelty in the evolution of phenotypic diversity and innovation.
The idea of a conserved genetic toolkit of life comes from the 'evo-devo' (evolutionary and developmental biology) world. In short, it proposes that evolution uses the same ingredients in all organisms, but tinkers with the recipe. By expressing genes at different times in development and/or in different parts of the body, the same genes can be used in different combinations to allow evolvability, generating phenotypic diversity and innovation. Animals look different not because the molecular machinery is different, but because different parts of the machinery are activated to differing degrees, at different times, in different places and in different combinations. The number of combinations is huge, and so this is a plausible explanation for the development of complex and diverse phenotypes from even a small number of genes. For example, humans have a mere 21,000 genes in our genome, and yet we are arguably one of the most complex products of evolution.
A text-book example is the super-controller of development, Hox genes—a set of genes which tell bodies where to develop heads, tails, arms, legs, in every major animal group. Hox genes are in mice, worms, humans… they are inherited from a common ancestor. Other examples of toolkt genes are those that control eye development, or hair/plumage colouration. Toolkit genes are old, present in all animals and they do pretty much the same thing in all animals. There is no denying that conserved genomic material forms an important part of the molecular building blocks of life.
However. We can now sequence de novo the genomes and transcriptomes (the genes expressed at any one time/place) of any organism. We have sequence data for algae, pythons, green sea turtles, puffer fish, pied flycatchers, platypus, koala, bonobos, giant pandas, bottle-nosed dolphins, leafcutter ants, monarch butterfly, pacific oysters, leeches…the list is growing exponentially. And each new genome brings with it a suit of unique genes. Twenty percent of genes in nematodes are unique. Each lineage of ants contains about 4000 novel genes, but only 64 of these are conserved across all seven ant genomes sequenced so far.
Many of these unique ('novel') genes are proving important in the evolution of biological innovations. Morphological differences between closely related fresh water polyps, Hydra, can be attributed to a small group of novel genes. Novel genes are emerging as important in the worker castes of bees, wasps and ants. Newt-specific genes may play a role in their amazing tissue regenerative powers. In humans, novel genes are associated with devastating diseases, such as leukaemia and Alhzeimer's.
Life is genomically complex, and this complexity plays a crucial role in evolving diversity of life. It's easy to see how an innovation can be improved through natural selection, e.g. once the first eye evolved, it was subject to strong selection to increase the fitness (survival) of its owner. It is more challenging to explain how novelty first originates, especially from a conserved genomic toolkit. Darwinian evolution explains how organisms and their traits evolve, but not how they originate. How did the first eye arise? Or more specifically how did that master regulatory gene for eye development in all animals first originate? The capacity to evolve novel phenotypic traits (be they morphological, physiological or behavioural) is crucial for survival and adaptation, especially in changing (or new) environments.
A conserved genome can generate novelties through rearrangements (within or between genes), changes in regulation or genome duplication events. For example, the vertebrate genome has been replicated in their entirety twice in their evolutionary history; salmonid fish have undergone a further two whole genome duplications. Duplications reduce selection on the function of one of the gene copies, allowing that copy to mutate and evolve into a new gene whilst the other copy maintains business as usual. Conserved genomes can also harbour a lot of latent genetic variation—fodder for evolving novelty—which is not exposed to selection. Non-lethal variation can lie dormant in the genome by not being expressed, or by being expressed at times when it doesn't have a lethal effect on the phenotype. The molecular machinery that regulates expression of genes and proteins depends on minimal information, rules and tools: transcription factors recognise sequences of only a few base-pairs as binding sites, which gives them enormous potential for plasticity in where they bind. Pleiotropic changes across many conserved genes using different combination of transcription, translation and/or post-translation activity are a good source of genomic novelty. E.g. the evolution of beak shapes in Darwin's finches is controlled by pleiotropic changes brought about by changes in the signalling patterns of a conserved gene that controls bone development. The combinatorial power of even a limited genetic toolkit gives it enormous potential to evolve novelty from old machinery.
But the presence of unique genes in all evolutionary lineages studied to date now tells us that de novo gene birth, rather than a reordering of old ingredients, is important in phenotypic evolution. The over-abundance of non-coding DNA in genomes is less puzzling, if they are a melting pot for genomes to exploit and create new genes and gene function, and ultimately phenotypic innovation. The current thinking is that genomes are constantly producing new genes all the time, but that only a few become functional.
Our story started simply: all life is a product of gentle evolutionary tinkering of a shared molecular toolkit. The unimaginable time has arrived where we can unpack the molecular building blocks of any creature. And these data are shaking things up. What a surprise? Not really. Perhaps the most important lesson from this is that no theory is completely right, and that good theories are those that continue evolving and embracing innovation. Let's evolve theories (keeping the bits that are proven correct), not retire them.
 "
 Big Effects Have Big Explanations ,"  
Many scientists are seduced by a two-step path to success: First identify a big effect and then find the explanation for it. Although not often discussed, there is an implicit theory behind this approach. The theory is that big effects have big explanations. This is critical because scientists are interested in the explanations, not in the effects—Newton is famous not for showing that apples fall, but for explaining why. So, if the implicit theory is wrong, then a lot of people are barking up the wrong trees.
There is, of course, an alternative and very plausible source of big effects: Many small explanations interacting. As it happens, this alternative is worse than the wrong tree—it's a near-hopeless tree. The wrong tree would simply yield a disappointingly small explanation. But the hopeless tree has so many explanations tangled in knotted branches that extraordinary effort is required to obtain any fruit at all.
So, do big effects tend to have big explanations, or many explanations? There is probably no single, simple and uniformly correct answer to this question. (It's a hopeless tree!) But, we can use a simple model to help make an educated guess.
Suppose that the world is composed of three kinds of things. There are levers we can pull. Pulling these levers cause observable effects: Lights flash, bells ring, and apples fall. Finally, there is a hidden layer of causal forces—the explanations—that connect the levers to their effects.
In order to explore this toy world I simulated it on my laptop. First, I created one thousand levers. Each lever activated between one and five hidden mechanisms (200 levers activated just one mechanism each, another 200 activated two, etc.). In my simulation, each mechanism was simply a number drawn from a normal distribution with a mean of zero. Then, the hidden mechanisms activated by each lever were summed to produce an observable effect. So, 200 of the levers produced effects equal to a single number drawn from a normal distribution, another 200 levers produced effects equal to the sum of two such numbers, and so forth.
After this was done, I had a list of 1,000 effects of varying size. Some were large (very negative, or very positive), while others were small (close to zero). First I looked at the 50 smallest effects, curious to see how many of them resulted from a single, isolated mechanism: 11 out of 50. Then I checked how many of them were the result of five mechanisms, summed together: 6 out of 50. On the whole, the very smallest effects tended to have fewer explanations.
Next I looked at the 50 largest effects. These effects were much larger—about 100 times larger, on average. But they also tended to have many more explanations. Among those 50 largest effects, 25 of them had five explanations, but not even one of them had a single explanation. The first such single-explanation-effect was ranked 103 in size. (These examples help to make my point tangible, but its essence can be captured more succinctly: The standard deviation of the sum of two uncorrelated random variables is greater than the standard deviation of either individually).
So, if a scientist's exclusive goal were simplicity, then in my toy world she ought to avoid the very biggest effects and instead pursue the smallest ones. Yet, she might feel cheated because this method would only identify explanations of tremendously little influence. As a crude method of balancing simplicity (few explanations) against influence (big explanations), I computed a sort of ""expected value"" of experimentation for different effect sizes: The probability of finding a one-cause-effect, multiplied by the size of the effect in question. As you might guess, the highest expected values tend to fall towards the middle of the range of effect sizes. Balance, it seems, finds a soul mate in modesty.
Now, there are some caveats to my back of the envelope calculations. Most scientists are capable of working out causal mechanisms that have more than one dimension. (Some can even handle five!) Also, the actual causal mechanisms that scientists investigate are far more complicated than my model allows for. One explanation may be related to many effects, multiple explanations combine with each other nonlinearly, explanations may be correlated, and so forth.
Still, there is value in retiring the implicit theory that we should pursue the largest effects most doggedly. I suspect that every scientist has her own a favorite example of the perils of this theory. In my field, lakes of ink have been spilled attempting to find ""the"" explanation for why people consider it acceptable to redirect a speeding trolley away from five people and towards one, but not acceptable to hurl one person in front of a trolley in order to stop it from hitting five. This case is alluring because the effect is huge and its explanation is not all obvious. With the benefit of hindsight, however, there is considerable agreement that it does not have just one explanation. In fact, we have tended to learn more from studying much smaller effects with a key benefit: a sole cause.
It is natural to praise research that delivers large effects and the theories that purport to explain them. And this praise is often justified—not least because the world has large problems that demand ambitious scientific solutions. Yet science can advance only at the rate of its best explanations. Often, the most elegant ones are clothed around effects of modest proportions.
 "
